ncbiID	fullName	rank	parentID
92000358	Acinetobacter baumannii 397971	norank	470
92000359	Acinetobacter baumannii 3990	norank	470
92000360	Acinetobacter baumannii 400834	norank	470
92000361	Acinetobacter baumannii 4113	norank	470
92000362	Acinetobacter baumannii 42057_2	norank	470
92000363	Acinetobacter baumannii 42057_3	norank	470
92000364	Acinetobacter baumannii 42057_4	norank	470
92000365	Acinetobacter baumannii 42057_5	norank	470
92000366	Acinetobacter baumannii 42057_6	norank	470
92000367	Acinetobacter baumannii 426863	norank	470
92000368	Acinetobacter baumannii 428	norank	470
92000369	Acinetobacter baumannii 42887	norank	470
92000370	Acinetobacter baumannii 42R3	norank	470
92000371	Acinetobacter baumannii 43557_1	norank	470
92000372	Acinetobacter baumannii 4390	norank	470
92000373	Acinetobacter baumannii 43926	norank	470
92000374	Acinetobacter baumannii 440	norank	470
92000375	Acinetobacter baumannii 44298_1	norank	470
92000376	Acinetobacter baumannii 44298_10	norank	470
92000377	Acinetobacter baumannii 44298_2	norank	470
92000378	Acinetobacter baumannii 44298_3	norank	470
92000379	Acinetobacter baumannii 44298_4	norank	470
92000380	Acinetobacter baumannii 44298_5	norank	470
92000381	Acinetobacter baumannii 44298_6	norank	470
92000382	Acinetobacter baumannii 44298_7	norank	470
92000383	Acinetobacter baumannii 44298_8	norank	470
92000384	Acinetobacter baumannii 44298_9	norank	470
92000385	Acinetobacter baumannii 44327_1	norank	470
92000386	Acinetobacter baumannii 44327_2	norank	470
92000387	Acinetobacter baumannii 44327_4	norank	470
92000388	Acinetobacter baumannii 44327_5	norank	470
92000389	Acinetobacter baumannii 44327_6	norank	470
92000390	Acinetobacter baumannii 44327_7	norank	470
92000391	Acinetobacter baumannii 44327_8	norank	470
92000392	Acinetobacter baumannii 44362_1	norank	470
92000393	Acinetobacter baumannii 44362_10	norank	470
92000394	Acinetobacter baumannii 44362_2	norank	470
92000395	Acinetobacter baumannii 44362_3	norank	470
92000396	Acinetobacter baumannii 44362_4	norank	470
92000397	Acinetobacter baumannii 44362_5	norank	470
92000398	Acinetobacter baumannii 44362_6	norank	470
92000399	Acinetobacter baumannii 44362_7	norank	470
92000400	Acinetobacter baumannii 44362_8	norank	470
92000401	Acinetobacter baumannii 44362_9	norank	470
92000402	Acinetobacter baumannii 44437_3	norank	470
92000403	Acinetobacter baumannii 44437_4	norank	470
92000404	Acinetobacter baumannii 44437_5	norank	470
92000405	Acinetobacter baumannii 44437_7	norank	470
92000406	Acinetobacter baumannii 44437_8	norank	470
92000407	Acinetobacter baumannii 44437_9	norank	470
92000408	Acinetobacter baumannii 44467_1	norank	470
92000409	Acinetobacter baumannii 44467_10	norank	470
92000410	Acinetobacter baumannii 44467_2	norank	470
92000411	Acinetobacter baumannii 44467_3	norank	470
92000412	Acinetobacter baumannii 44467_4	norank	470
92000413	Acinetobacter baumannii 44467_5	norank	470
92000414	Acinetobacter baumannii 44467_6	norank	470
92000415	Acinetobacter baumannii 44467_7	norank	470
92000416	Acinetobacter baumannii 44467_8	norank	470
92000417	Acinetobacter baumannii 44467_9	norank	470
92000418	Acinetobacter baumannii 44839_10	norank	470
92000419	Acinetobacter baumannii 44839_8	norank	470
92000420	Acinetobacter baumannii 44839_9	norank	470
92000421	Acinetobacter baumannii 44857_10	norank	470
92000422	Acinetobacter baumannii 44857_9	norank	470
92000423	Acinetobacter baumannii 44895_1	norank	470
92000424	Acinetobacter baumannii 44895_10	norank	470
92000425	Acinetobacter baumannii 44895_2	norank	470
92000426	Acinetobacter baumannii 44895_3	norank	470
92000427	Acinetobacter baumannii 44895_4	norank	470
92000428	Acinetobacter baumannii 44895_5	norank	470
92000429	Acinetobacter baumannii 44895_6	norank	470
92000430	Acinetobacter baumannii 44895_8	norank	470
92000431	Acinetobacter baumannii 44895_9	norank	470
92000432	Acinetobacter baumannii 45002_10	norank	470
92000433	Acinetobacter baumannii 45002_3	norank	470
92000434	Acinetobacter baumannii 45002_4	norank	470
