ncbiID	fullName	rank	parentID
92000287	Acinetobacter baumannii 92000287	norank	470
92000288	Acinetobacter baumannii 92000288	norank	470
92000289	Acinetobacter baumannii 92000289	norank	470
92000290	Acinetobacter baumannii 92000290	norank	470
92000291	Acinetobacter baumannii 92000291	norank	470
92000292	Acinetobacter baumannii 92000292	norank	470
92000293	Acinetobacter baumannii 92000293	norank	470
92000294	Acinetobacter baumannii 92000294	norank	470
92000295	Acinetobacter baumannii 92000295	norank	470
92000296	Acinetobacter baumannii 92000296	norank	470
92000297	Acinetobacter baumannii 92000297	norank	470
92000298	Acinetobacter baumannii 92000298	norank	470
92000299	Acinetobacter baumannii 92000299	norank	470
92000300	Acinetobacter baumannii 92000300	norank	470
92000301	Acinetobacter baumannii 92000301	norank	470
92000302	Acinetobacter baumannii 92000302	norank	470
92000303	Acinetobacter baumannii 92000303	norank	470
92000304	Acinetobacter baumannii 92000304	norank	470
92000305	Acinetobacter baumannii 92000305	norank	470
92000306	Acinetobacter baumannii 92000306	norank	470
92000307	Acinetobacter baumannii 92000307	norank	470
92000308	Acinetobacter baumannii 92000308	norank	470
92000309	Acinetobacter baumannii 92000309	norank	470
92000310	Acinetobacter baumannii 92000310	norank	470
92000311	Acinetobacter baumannii 92000311	norank	470
92000312	Acinetobacter baumannii 92000312	norank	470
92000313	Acinetobacter baumannii 92000313	norank	470
92000314	Acinetobacter baumannii 92000314	norank	470
92000315	Acinetobacter baumannii 92000315	norank	470
92000316	Acinetobacter baumannii 92000316	norank	470
92000317	Acinetobacter baumannii 92000317	norank	470
92000318	Acinetobacter nosocomialis 92000318	norank	106654
92000319	Acinetobacter baumannii 92000319	norank	470
92000320	Acinetobacter baumannii 92000320	norank	470
92000321	Acinetobacter baumannii 92000321	norank	470
92000322	Acinetobacter baumannii 92000322	norank	470
92000323	Acinetobacter baumannii 92000323	norank	470
92000324	Acinetobacter baumannii 92000324	norank	470
92000325	Acinetobacter baumannii 92000325	norank	470
92000326	Acinetobacter baumannii 92000326	norank	470
92000327	Acinetobacter baumannii 92000327	norank	470
92000328	Acinetobacter baumannii 92000328	norank	470
92000329	Acinetobacter baumannii 92000329	norank	470
92000330	Acinetobacter baumannii 92000330	norank	470
92000331	Acinetobacter pittii 92000331	norank	48296
92000332	Acinetobacter baumannii 92000332	norank	470
92000333	Acinetobacter baumannii 92000333	norank	470
92000334	Acinetobacter baumannii 92000334	norank	470
92000335	Acinetobacter baumannii 92000335	norank	470
92000336	Acinetobacter baumannii 92000336	norank	470
92000337	Acinetobacter baumannii 92000337	norank	470
92000338	Acinetobacter baumannii 92000338	norank	470
92000339	Acinetobacter baumannii 92000339	norank	470
92000340	Acinetobacter baumannii 92000340	norank	470
92000341	Acinetobacter baumannii 92000341	norank	470
92000342	Acinetobacter baumannii 92000342	norank	470
92000343	Acinetobacter baumannii 92000343	norank	470
92000344	Acinetobacter baumannii 92000344	norank	470
92000345	Acinetobacter baumannii 92000345	norank	470
92000346	Acinetobacter baumannii 92000346	norank	470
92000347	Acinetobacter baumannii 92000347	norank	470
92000348	Acinetobacter baumannii 92000348	norank	470
92000349	Acinetobacter baumannii 92000349	norank	470
